flow_name,flow_label,retire_index,total_retire,step,cycle,pc,inst,opcode,regwr,rd,rd_data,memwr,mem_addr,mem_data,illegal,stall,redirect,fwdA,fwdB
pipeline_spike,Pipeline TB,115,490,119,154,0x800000e4,0xfec42783,LOAD,1,15,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,116,490,120,156,0x800000e8,0x40f707b3,ALUR,1,15,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,117,490,121,157,0x800000ec,0xfe842703,LOAD,1,14,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,118,490,122,159,0x800000f0,0xf2f74ee3,BRANCH,0,29,0x00000006,0,0x00000006,0x00000004,0,0,0,0,0
pipeline_spike,Pipeline TB,119,490,123,162,0x8000002c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,120,490,124,163,0x80000030,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,121,490,125,164,0x80000034,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,122,490,126,166,0x80000038,0x00279793,ALUI,1,15,0x00000008,0,0x00000008,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,123,490,127,167,0x8000003c,0x00f707b3,ALUR,1,15,0x8000013c,0,0x8000013c,0x00000008,0,0,0,0,0
pipeline_spike,Pipeline TB,124,490,128,168,0x80000040,0x0007a703,LOAD,1,14,0x00000009,0,0x8000013c,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,125,490,129,169,0x80000044,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,126,490,130,171,0x80000048,0x00178793,ALUI,1,15,0x00000003,0,0x00000003,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,127,490,131,172,0x8000004c,0x800006b7,LUI,1,13,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,128,490,132,173,0x80000050,0x13468693,ALUI,1,13,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,129,490,133,174,0x80000054,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,130,490,134,175,0x80000058,0x00f687b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,131,490,135,176,0x8000005c,0x0007a783,LOAD,1,15,0x00000001,0,0x80000140,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,132,490,136,178,0x80000060,0x06e7da63,BRANCH,0,20,0x0000000a,0,0x0000000a,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,133,490,137,179,0x80000064,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,134,490,138,180,0x80000068,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,135,490,139,181,0x8000006c,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,136,490,140,183,0x80000070,0x00279793,ALUI,1,15,0x00000008,0,0x00000008,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,137,490,141,184,0x80000074,0x00f707b3,ALUR,1,15,0x8000013c,0,0x8000013c,0x00000008,0,0,0,0,0
pipeline_spike,Pipeline TB,138,490,142,185,0x80000078,0x0007a783,LOAD,1,15,0x00000009,0,0x8000013c,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,139,490,143,187,0x8000007c,0xfef42223,STORE,0,4,0x8000ffe4,1,0x8000ffe4,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,140,490,144,188,0x80000080,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,141,490,145,190,0x80000084,0x00178793,ALUI,1,15,0x00000003,0,0x00000003,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,142,490,146,191,0x80000088,0x80000737,LUI,1,14,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,143,490,147,192,0x8000008c,0x13470713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,144,490,148,193,0x80000090,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,145,490,149,194,0x80000094,0x00f707b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,146,490,150,195,0x80000098,0x0007a703,LOAD,1,14,0x00000001,0,0x80000140,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,147,490,151,196,0x8000009c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,148,490,152,197,0x800000a0,0x13478693,ALUI,1,13,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,149,490,153,198,0x800000a4,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,150,490,154,200,0x800000a8,0x00279793,ALUI,1,15,0x00000008,0,0x00000008,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,151,490,155,201,0x800000ac,0x00f687b3,ALUR,1,15,0x8000013c,0,0x8000013c,0x00000008,0,0,0,0,0
pipeline_spike,Pipeline TB,152,490,156,202,0x800000b0,0x00e7a023,STORE,0,0,0x8000013c,1,0x8000013c,0x00000001,0,0,0,0,0
pipeline_spike,Pipeline TB,153,490,157,203,0x800000b4,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,154,490,158,205,0x800000b8,0x00178793,ALUI,1,15,0x00000003,0,0x00000003,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,155,490,159,206,0x800000bc,0x80000737,LUI,1,14,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,156,490,160,207,0x800000c0,0x13470713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,157,490,161,208,0x800000c4,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,158,490,162,209,0x800000c8,0x00f707b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,159,490,163,210,0x800000cc,0xfe442703,LOAD,1,14,0x00000009,0,0x8000ffe4,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,160,490,164,212,0x800000d0,0x00e7a023,STORE,0,0,0x80000140,1,0x80000140,0x00000009,0,0,0,0,0
pipeline_spike,Pipeline TB,161,490,165,213,0x800000d4,0xfe842783,LOAD,1,15,0x00000002,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,162,490,166,215,0x800000d8,0x00178793,ALUI,1,15,0x00000003,0,0x00000003,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,163,490,167,216,0x800000dc,0xfef42423,STORE,0,8,0x8000ffe8,1,0x8000ffe8,0x00000003,0,0,0,0,0
pipeline_spike,Pipeline TB,164,490,168,217,0x800000e0,0x00400713,ALUI,1,14,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,165,490,169,218,0x800000e4,0xfec42783,LOAD,1,15,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,166,490,170,220,0x800000e8,0x40f707b3,ALUR,1,15,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,167,490,171,221,0x800000ec,0xfe842703,LOAD,1,14,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,168,490,172,223,0x800000f0,0xf2f74ee3,BRANCH,0,29,0x00000007,0,0x00000007,0x00000004,0,0,0,0,0
pipeline_spike,Pipeline TB,169,490,173,226,0x8000002c,0x800007b7,LUI,1,15,0x80000000,0,0x80000000,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,170,490,174,227,0x80000030,0x13478713,ALUI,1,14,0x80000134,0,0x80000134,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,171,490,175,228,0x80000034,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,172,490,176,230,0x80000038,0x00279793,ALUI,1,15,0x0000000c,0,0x0000000c,0x8000ffe0,0,0,0,0,0
pipeline_spike,Pipeline TB,173,490,177,231,0x8000003c,0x00f707b3,ALUR,1,15,0x80000140,0,0x80000140,0x0000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,174,490,178,232,0x80000040,0x0007a703,LOAD,1,14,0x00000009,0,0x80000140,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,175,490,179,233,0x80000044,0xfe842783,LOAD,1,15,0x00000003,0,0x8000ffe8,0x80010000,0,0,0,0,0
