module_name,scenario_id,scenario_name,sample_count,wr_acc_count,rd_acc_count,wr_block_count,rd_block_count
async_fifo,1,fill_burst,229,23,8,19,1
async_fifo,2,mixed_stress,231,28,29,6,0
async_fifo,3,drain_burst,231,10,24,0,18
async_fifo,4,full_pressure,231,26,11,16,0
async_fifo,5,empty_pressure,230,9,22,0,20
