baud_sel,baud_rate,max_pass_jitter_permille,max_pass_jitter_percent,max_pass_jitter_ns,first_fail_jitter_permille,first_fail_jitter_percent,short_baud_error_percent_at_limit,long_baud_error_percent_at_limit,pass_count,fail_count,tested_points
0,9600,430,43.0,44791.66666666667,440,44.0,75.43859649122805,-30.069930069930074,44,7,51
1,14400,430,43.0,29861.11111111111,440,44.0,75.43859649122808,-30.069930069930063,44,7,51
2,19200,430,43.0,22395.833333333336,440,44.0,75.43859649122805,-30.069930069930074,44,7,51
3,38400,430,43.0,11197.916666666668,440,44.0,75.43859649122805,-30.069930069930074,44,7,51
4,57600,440,44.0,7638.888888888888,450,45.0,78.57142857142856,-30.555555555555546,45,6,51
5,115200,440,44.0,3819.444444444444,450,45.0,78.57142857142856,-30.555555555555546,45,6,51
6,230400,440,44.0,1909.722222222222,450,45.0,78.57142857142856,-30.555555555555546,45,6,51
7,460800,460,46.0,998.2638888888888,470,47.0,85.18518518518519,-31.506849315068486,47,4,51
8,921600,480,48.0,520.8333333333333,490,49.0,92.30769230769234,-32.432432432432435,49,2,51
