baud_sel,baud_rate,jitter_permille,jitter_percent,nominal_bit_ns,jitter_ns,short_bit_ns,long_bit_ns,short_baud_rate,long_baud_rate,short_baud_error_percent,long_baud_error_percent,passed,xsim_returncode,sim_wall_time_s,failure_reason
0,9600,0,0.0,104166.66666666667,0.0,104166.66666666667,104166.66666666667,9600.0,9600.0,0.0,0.0,1,0,2.58279037498869,
0,9600,10,1.0,104166.66666666667,1041.6666666666667,103125.0,105208.33333333334,9696.969696969696,9504.950495049505,1.0101010101009944,-0.990099009900991,1,0,2.717103807022795,
0,9600,20,2.0,104166.66666666667,2083.3333333333335,102083.33333333334,106250.0,9795.918367346938,9411.764705882353,2.0408163265305923,-1.9607843137254832,1,0,2.7122308459947817,
0,9600,30,3.0,104166.66666666667,3125.0,101041.66666666667,107291.66666666667,9896.907216494845,9320.388349514562,3.092783505154628,-2.912621359223311,1,0,2.6554285360034555,
0,9600,40,4.0,104166.66666666667,4166.666666666667,100000.0,108333.33333333334,10000.0,9230.76923076923,4.166666666666674,-3.8461538461538436,1,0,2.62344676599605,
0,9600,50,5.0,104166.66666666667,5208.333333333334,98958.33333333334,109375.0,10105.263157894737,9142.857142857143,5.263157894736836,-4.761904761904756,1,0,2.623973294044845,
0,9600,60,6.0,104166.66666666667,6250.0,97916.66666666667,110416.66666666667,10212.765957446809,9056.603773584906,6.382978723404253,-5.660377358490565,1,0,2.5784121030010283,
0,9600,70,7.0,104166.66666666667,7291.666666666667,96875.0,111458.33333333334,10322.58064516129,8971.96261682243,7.526881720430101,-6.542056074766355,1,0,2.666305069986265,
0,9600,80,8.0,104166.66666666667,8333.333333333334,95833.33333333334,112500.0,10434.782608695652,8888.888888888889,8.695652173913038,-7.4074074074074066,1,0,2.5619765919982456,
0,9600,90,9.0,104166.66666666667,9375.0,94791.66666666667,113541.66666666667,10549.450549450548,8807.339449541285,9.890109890109876,-8.25688073394495,1,0,2.627389253990259,
0,9600,100,10.0,104166.66666666667,10416.666666666668,93750.0,114583.33333333334,10666.666666666666,8727.272727272726,11.111111111111093,-9.090909090909104,1,0,2.5835412690066732,
0,9600,110,11.0,104166.66666666667,11458.333333333334,92708.33333333334,115625.0,10786.516853932582,8648.648648648648,12.35955056179774,-9.909909909909908,1,0,2.6221588940243237,
0,9600,120,12.0,104166.66666666667,12500.0,91666.66666666667,116666.66666666667,10909.090909090908,8571.42857142857,13.636363636363624,-10.71428571428572,1,0,2.568429963022936,
0,9600,130,13.0,104166.66666666667,13541.666666666668,90625.0,117708.33333333334,11034.48275862069,8495.575221238938,14.942528735632198,-11.504424778761058,1,0,2.6230888640275225,
0,9600,140,14.0,104166.66666666667,14583.333333333334,89583.33333333334,118750.0,11162.790697674418,8421.052631578947,16.279069767441847,-12.28070175438597,1,0,2.647466647962574,
0,9600,150,15.0,104166.66666666667,15625.0,88541.66666666667,119791.66666666667,11294.117647058823,8347.826086956522,17.647058823529417,-13.043478260869568,1,0,2.5965623250231147,
0,9600,160,16.0,104166.66666666667,16666.666666666668,87500.0,120833.33333333334,11428.57142857143,8275.862068965516,19.047619047619047,-13.793103448275868,1,0,2.5391967999748886,
0,9600,170,17.0,104166.66666666667,17708.333333333336,86458.33333333334,121875.0,11566.265060240963,8205.128205128205,20.48192771084336,-14.529914529914533,1,0,2.648537938017398,
0,9600,180,18.0,104166.66666666667,18750.0,85416.66666666667,122916.66666666667,11707.31707317073,8135.593220338983,21.95121951219512,-15.254237288135597,1,0,2.575290948036127,
0,9600,190,19.0,104166.66666666667,19791.666666666668,84375.0,123958.33333333334,11851.851851851852,8067.226890756302,23.456790123456784,-15.96638655462186,1,0,2.600076502014417,
0,9600,200,20.0,104166.66666666667,20833.333333333336,83333.33333333334,125000.0,11999.999999999998,8000.0,24.99999999999998,-16.666666666666664,1,0,2.542537214991171,
0,9600,210,21.0,104166.66666666667,21875.0,82291.66666666667,126041.66666666667,12151.898734177215,7933.884297520661,26.582278481012665,-17.355371900826455,1,0,2.5696104330127127,
0,9600,220,22.0,104166.66666666667,22916.666666666668,81250.0,127083.33333333334,12307.692307692309,7868.8524590163925,28.205128205128215,-18.032786885245912,1,0,2.5449278249870986,
0,9600,230,23.0,104166.66666666667,23958.333333333336,80208.33333333334,128125.0,12467.532467532466,7804.878048780488,29.87012987012987,-18.699186991869922,1,0,2.6197817270294763,
0,9600,240,24.0,104166.66666666667,25000.0,79166.66666666667,129166.66666666667,12631.57894736842,7741.935483870968,31.57894736842104,-19.354838709677413,1,0,2.557021140004508,
0,9600,250,25.0,104166.66666666667,26041.666666666668,78125.0,130208.33333333334,12800.0,7679.999999999999,33.33333333333333,-20.000000000000007,1,0,2.559233213949483,
0,9600,260,26.0,104166.66666666667,27083.333333333336,77083.33333333334,131250.0,12972.972972972972,7619.047619047619,35.13513513513511,-20.63492063492063,1,0,2.6059385769767687,
0,9600,270,27.0,104166.66666666667,28125.0,76041.66666666667,132291.6666666667,13150.684931506848,7559.0551181102355,36.98630136986301,-21.259842519685044,1,0,2.6908765750122257,
0,9600,280,28.0,104166.66666666667,29166.666666666668,75000.0,133333.33333333334,13333.333333333334,7499.999999999999,38.88888888888891,-21.87500000000001,1,0,2.5788260139524937,
0,9600,290,29.0,104166.66666666667,30208.333333333336,73958.33333333334,134375.0,13521.126760563378,7441.860465116279,40.8450704225352,-22.480620155038768,1,0,2.5678099060314707,
0,9600,300,30.0,104166.66666666667,31250.0,72916.66666666667,135416.6666666667,13714.285714285714,7384.615384615384,42.85714285714286,-23.076923076923084,1,0,2.477086169004906,
0,9600,310,31.0,104166.66666666667,32291.666666666668,71875.0,136458.33333333334,13913.04347826087,7328.24427480916,44.927536231884055,-23.664122137404586,1,0,2.5735220269998536,
0,9600,320,32.0,104166.66666666667,33333.333333333336,70833.33333333334,137500.0,14117.647058823528,7272.727272727273,47.058823529411754,-24.242424242424242,1,0,2.5792435629991814,
0,9600,330,33.0,104166.66666666667,34375.0,69791.66666666667,138541.6666666667,14328.358208955224,7218.045112781954,49.25373134328359,-24.812030075187973,1,0,2.6009591359761544,
0,9600,340,34.0,104166.66666666667,35416.66666666667,68750.0,139583.33333333334,14545.454545454546,7164.179104477612,51.515151515151516,-25.373134328358205,1,0,2.5773201669799164,
0,9600,350,35.0,104166.66666666667,36458.333333333336,67708.33333333334,140625.0,14769.230769230768,7111.111111111111,53.84615384615383,-25.92592592592592,1,0,2.6117570039932616,
